[0.         0.10556282 0.75429969],[0.18088354 0.10822277 0.63294188],[0.36025803 0.22206543 0.55349269],[0.52628608 0.31852559 0.48588916],[0.62816172 0.37973953 0.42765486],[0.28389524 0.80575956 0.58149168],[0.6119845  0.791638   0.45171943],[0.72303812 0.54907631 0.36960019],[0.70117183 0.37238595 0.32757312],[0.28237739 0.82948374 0.59260628],[0.6274256  0.77132418 0.47065144],[0.71827361 0.50278488 0.42987001],[0.68444581 0.34700603 0.41770636],[0.28068155 0.77525312 0.59010104],[0.59697244 0.73158209 0.47181661],[0.67855679 0.47596018 0.46506398],[0.64203278 0.30997772 0.48263426],[0.27725636 0.65907573 0.57901264],[0.50725828 0.64481903 0.47367588],[0.59969667 0.4712215  0.46247308],[0.58934364 0.32853583 0.4797257 ]
[0.25337899 0.09405537 1.        ],[0.14149074 0.04627059 0.64864547],[0.1019557  0.10798242 0.44537746],[0.18361972 0.17892545 0.29451761],[0.30742057 0.25302819 0.16822984],[0.16851674 0.87306608 0.58463073],[0.40563823 0.78173821 0.34334829],[0.45592494 0.50847764 0.21576762],[0.4111387  0.34078653 0.15839853],[0.38921445 0.94659326 0.67880883],[0.5923725  0.82469008 0.43524405],[0.60398099 0.44838025 0.36937171],[0.52256233 0.26672816 0.36546496],[0.5730657  0.91552852 0.7380455 ],[0.7428176  0.81611014 0.51009309],[0.7531549  0.46667689 0.49668311],[0.66317131 0.26676992 0.53591927],[0.72113285 0.84063226 0.77029925],[0.85110435 0.73861797 0.59256642],[0.86813501 0.47943846 0.56321585],[0.79020366 0.30550361 0.58537241]
[0.32456824 0.         0.89143055],[0.15337349 0.00540219 0.63898906],[0.04108075 0.12366531 0.48331715],[0.09141637 0.20077023 0.35350065],[0.16037193 0.24321835 0.23716778],[0.1218817  0.92372832 0.64229559],[0.27226621 0.89396291 0.409832  ],[0.35358766 0.58916083 0.25131137],[0.35874577 0.33787314 0.17578349],[0.39691837 0.97883652 0.6893493 ],[0.56192371 0.91252628 0.46546666],[0.62196695 0.5108856  0.37580122],[0.58568238 0.23088641 0.36194026],[0.62728267 0.91311952 0.70529038],[0.78363836 0.8274296  0.49000816],[0.80097323 0.45706571 0.46549651],[0.73869928 0.18670384 0.50682473],[0.79747684 0.77647246 0.70291555],[0.9426216  0.69597459 0.54236316],[0.92370827 0.43747912 0.53406769],[0.84181621 0.25483905 0.57684872]
[0.31943626 0.03261341 1.        ],[0.16068087 0.14484729 0.71939241],[0.09128589 0.26211133 0.53360179],[0.13164532 0.31221668 0.38372957],[0.19125543 0.37280151 0.2445528 ],[0.15781917 0.88202765 0.6104464 ],[0.26646114 0.71135185 0.37039485],[0.35208991 0.45245496 0.20845326],[0.39000951 0.26206565 0.12076159],[0.4094785  0.93653303 0.67292064],[0.52524518 0.81063552 0.44395983],[0.59004196 0.45361039 0.3518505 ],[0.57544726 0.19690478 0.31580344],[0.62470687 0.89985889 0.71402285],[0.73593714 0.82891952 0.49774673],[0.76078694 0.47745524 0.45279971],[0.70651063 0.22373359 0.46266701],[0.80929417 0.79653927 0.73570683],[0.91435499 0.71518895 0.57184937],[0.92408814 0.45683887 0.53966112],[0.86342471 0.27129162 0.54967931]
[0.28582867 0.         0.72549937],[0.38343891 0.02747546 0.59836827],[0.43580452 0.13587861 0.49946047],[0.39006843 0.22309854 0.39354132],[0.28630869 0.31520225 0.29872987],[0.48547175 0.813396   0.66453944],[0.73431885 0.84102496 0.50821236],[0.7900642  0.54096956 0.39356381],[0.76857531 0.31973593 0.33623398],[0.42059305 0.8847514  0.65700529],[0.64665255 0.84472516 0.49920318],[0.69323762 0.47908684 0.43293211],[0.66413559 0.23097291 0.42302149],[0.33482398 0.86945509 0.62398872],[0.53612932 0.83933779 0.45827398],[0.57327673 0.48997065 0.45416289],[0.54496105 0.25000981 0.49629877],[0.22889906 0.79900724 0.58029337],[0.40881314 0.76908653 0.46180656],[0.45649494 0.50400528 0.47454335],[0.43210365 0.32281    0.52032142]
[0.39647129 0.16914056 1.        ],[0.22076152 0.15918024 0.73610193],[0.10166875 0.20690815 0.54500139],[0.08136073 0.24505094 0.38075919],[0.03013991 0.29596242 0.2262628 ],[0.17584341 0.82035069 0.62424031],[0.21756935 0.68037777 0.39702741],[0.26030277 0.4650802  0.25028164],[0.27070203 0.33305692 0.16873542],[0.42343075 0.90721241 0.66882833],[0.50790228 0.81614888 0.44603696],[0.58366085 0.45298461 0.36052058],[0.59074836 0.17134744 0.32802575],[0.64652042 0.91035159 0.6938608 ],[0.73405666 0.82980404 0.48145665],[0.78184185 0.45617105 0.42982021],[0.76138704 0.18119176 0.4364592 ],[0.84875715 0.83950372 0.70119405],[0.95325673 0.77063931 0.55564935],[0.97710994 0.50127246 0.53013332],[0.93650821 0.28826484 0.53960471]
[0.32813082 0.01819023 0.74024584],[0.31643445 0.         0.58407959],[0.30854777 0.06332634 0.47285384],[0.30883791 0.13453793 0.36628576],[0.25953264 0.18384606 0.26845422],[0.20026183 0.83565561 0.61650947],[0.52912232 0.86079063 0.47739414],[0.68461395 0.58727691 0.36576964],[0.71860897 0.37573888 0.30582623],[0.25372626 0.90989295 0.63244123],[0.54327416 0.85995165 0.50408766],[0.68651773 0.52026307 0.44346197],[0.72231576 0.26829691 0.42830828],[0.31534749 0.87720714 0.62989853],[0.56147439 0.82643973 0.48842591],[0.67363579 0.5173831  0.47784545],[0.70368461 0.27478862 0.5097683 ],[0.37945421 0.77812922 0.61564562],[0.60857932 0.74576928 0.50487685],[0.69300015 0.52635173 0.51234623],[0.70489948 0.33616402 0.55547523]
[0.13463137 0.16303491 0.9110678 ],[0.28033975 0.23324707 0.81111321],[0.45365122 0.30898442 0.70925422],[0.57810063 0.31084893 0.61655951],[0.67128184 0.34296711 0.53581397],[0.44043763 0.7839839  0.62740564],[0.65338609 1.         0.44778493],[0.78053417 0.75599093 0.36755177],[0.78235437 0.52857385 0.33733105],[0.36952928 0.72435628 0.59193766],[0.54289709 0.93662311 0.4113112 ],[0.70304623 0.61757541 0.39057264],[0.71727309 0.39318863 0.40686958],[0.27768222 0.58535723 0.54631114],[0.43537636 0.76425148 0.38242869],[0.60277407 0.48275221 0.39643985],[0.62637917 0.28706851 0.43753123],[0.18033719 0.40034668 0.49484379],[0.31616353 0.45778955 0.35069124],[0.45746758 0.27927377 0.34771568],[0.49635711 0.14378603 0.3794652 ]
[0.48313496 0.44832155 0.87509718],[0.45964751 0.22630887 0.68031894],[0.44396644 0.09672648 0.53976016],[0.43542654 0.03231343 0.4315232 ],[0.39087393 0.         0.32692877],[0.30692464 0.3719663  0.51634779],[0.38011417 0.41129716 0.37816144],[0.48975148 0.35628325 0.31395509],[0.52977082 0.3100973  0.28011795],[0.34305613 0.58323258 0.56534333],[0.41350413 0.6475803  0.43924352],[0.57971543 0.53380272 0.42904336],[0.64487734 0.43368087 0.43046289],[0.40024535 0.74175184 0.60628306],[0.47270533 0.81539772 0.47905467],[0.62346621 0.6774061  0.48456305],[0.68436263 0.54086173 0.50588432],[0.47368336 0.8516579  0.63613584],[0.56381658 0.91833288 0.52811635],[0.67251199 0.81328032 0.5207858 ],[0.70844501 0.68970071 0.5328733 ]
[0.32956874 0.38957056 0.77931331],[0.436436   0.15057934 0.63688203],[0.54004081 0.0294461  0.5259552 ],[0.69180295 0.         0.42676499],[0.80016792 0.05926231 0.32981997],[0.33489689 0.16223672 0.53724295],[0.436873   0.28868751 0.40051315],[0.56859843 0.33756108 0.3262493 ],[0.63620663 0.32818234 0.29218078],[0.26547604 0.42889149 0.5581957 ],[0.44230816 0.58810154 0.46980503],[0.63291409 0.59768095 0.45989008],[0.6792164  0.55165121 0.45207469],[0.23812575 0.65222769 0.56792316],[0.41696338 0.80159303 0.48739493],[0.59737287 0.7925543  0.50262427],[0.64786567 0.72766675 0.51747646],[0.23345031 0.82914064 0.56515787],[0.39411071 0.95000075 0.52725834],[0.55338543 0.94987367 0.55695319],[0.62421983 0.88509202 0.58032462]
