[0.11336332 1.         0.74049438],[0.09723424 0.76320829 0.68462696],[0.20165327 0.54850117 0.6347358 ],[0.35624326 0.41589072 0.60114297],[0.46833927 0.35042936 0.56365791],[0.20266401 0.5771906  0.52942767],[0.35912159 0.26946146 0.45602342],[0.46136005 0.10791688 0.43231045],[5.51070142e-01 4.05528044e-04 4.23712191e-01],[0.29756919 0.68422469 0.52421857],[0.52655337 0.41486917 0.44854488],[0.68229114 0.26092807 0.42260902],[0.80378083 0.16348264 0.40983518],[0.37491952 0.79778709 0.52430053],[0.61002998 0.56229793 0.45100799],[0.7695963  0.42190935 0.41093641],[0.89122173 0.32172998 0.39005834],[0.43581913 0.8980166  0.52818185],[0.63778821 0.7451109  0.46384924],[0.77261642 0.64260873 0.43662453],[0.88676504 0.55403085 0.42370171]
[0.00654012 0.89212191 0.76748228],[0.01663701 0.60490807 0.73534226],[0.16708287 0.41106185 0.68315177],[0.34917458 0.32510091 0.64828146],[0.48125651 0.30196279 0.60673625],[0.1726834  0.43289625 0.52487306],[0.36874558 0.18378109 0.44558935],[0.51613392 0.07227099 0.41494402],[0.64163596 0.         0.40185325],[0.26039413 0.62089944 0.50680744],[0.54233046 0.40145486 0.43410638],[0.72553127 0.27826945 0.40595044],[0.85809326 0.19699993 0.38755092],[0.33201639 0.80761188 0.50133774],[0.62464779 0.63958817 0.43599161],[0.80937557 0.53089938 0.40384803],[0.94262432 0.4531303  0.38497007],[0.38370749 0.96189194 0.50267236],[0.62614389 0.8635385  0.44739415],[0.7758842  0.79349958 0.43315695],[0.89936131 0.72811271 0.42796022]
[0.         0.7095174  0.70829519],[0.05718434 0.4592368  0.68480737],[0.22645884 0.33810901 0.6462785 ],[0.40162622 0.32185478 0.6202733 ],[0.51931765 0.34210709 0.58902719],[0.23627719 0.34154068 0.52356843],[0.44439297 0.19149223 0.45990646],[0.5889912  0.13831299 0.43374516],[0.70686806 0.11266238 0.42213717],[0.28218596 0.52450161 0.50589693],[0.55468434 0.42407466 0.45104483],[0.72745803 0.37135448 0.42765   ],[0.85072655 0.34233779 0.41119634],[0.31466749 0.70206619 0.49752763],[0.58962241 0.65253722 0.44931653],[0.76093771 0.61156846 0.42408395],[0.88547764 0.58426936 0.40761956],[0.33144989 0.84821025 0.49385226],[0.55050592 0.84356418 0.45429185],[0.68196265 0.82909975 0.44614083],[0.78920491 0.8115827  0.44334052]
[0.         0.56739805 0.68952547],[0.09724033 0.3607999  0.67289875],[0.25566415 0.26465112 0.64396541],[0.39389569 0.22861445 0.62472303],[0.47316206 0.20180977 0.60094784],[0.30819149 0.29702508 0.52962961],[0.51658103 0.22035738 0.46995007],[0.65427119 0.21046701 0.44132083],[0.76340638 0.21434063 0.42664476],[0.31944704 0.4724406  0.5103474 ],[0.5758873  0.44922894 0.45544102],[0.73472559 0.44595208 0.43135603],[0.84702723 0.44789238 0.41470028],[0.3143865  0.64315613 0.49919834],[0.56574092 0.68046848 0.45003041],[0.72651289 0.69640604 0.42463171],[0.83853945 0.70925674 0.4079942 ],[0.29807408 0.78480867 0.49245343],[0.49349151 0.8481892  0.44912669],[0.61285378 0.87243886 0.43583961],[0.7109014  0.8842985  0.42927512]
[0.         0.38907818 0.67442168],[0.14586893 0.21219325 0.6565242 ],[0.33342361 0.21058709 0.62566314],[0.48161449 0.30857563 0.60235037],[0.56608826 0.40471314 0.5757684 ],[0.35286461 0.23286225 0.52761886],[0.57812184 0.21799234 0.47095264],[0.7081747  0.25586153 0.44715918],[0.80325736 0.30086465 0.43792021],[0.32752853 0.40414804 0.50921668],[0.58089442 0.45576782 0.45828343],[0.7320524  0.50077095 0.43902845],[0.83520322 0.53853147 0.42757844],[0.28948945 0.56106563 0.49702586],[0.5235777  0.68299962 0.45105556],[0.66540731 0.74588866 0.43065206],[0.75881897 0.78687527 0.42003744],[0.24584762 0.68304526 0.48819556],[0.42699791 0.81101923 0.45530392],[0.53160492 0.87741184 0.45199097],[0.61316375 0.91974816 0.45325294]
[0.         0.23703723 0.66267021],[0.18547711 0.10173787 0.65106845],[0.37156781 0.15071879 0.62088367],[0.50989035 0.28902349 0.59755018],[0.58734532 0.41120638 0.57133208],[0.40250001 0.1731169  0.52216659],[0.63983664 0.24940086 0.47081254],[0.76825561 0.32954546 0.45290049],[0.85676658 0.40470013 0.44803171],[0.34692139 0.34307858 0.50167077],[0.59844154 0.47844093 0.45535243],[0.73825726 0.571765   0.44188066],[0.82788802 0.64209899 0.43596366],[0.27696799 0.49872165 0.48872326],[0.49583736 0.69434405 0.44986681],[0.62286863 0.79867098 0.43883472],[0.70704387 0.86588732 0.43445151],[0.20362601 0.61930624 0.47936079],[0.36372396 0.79559962 0.45300135],[0.45904247 0.88986551 0.45768182],[0.53774208 0.955734   0.46579632]
[0.         0.1368887  0.66402168],[0.20484836 0.02534761 0.66239167],[0.39650596 0.11161339 0.6361155 ],[0.52283986 0.28365541 0.61582329],[0.58621368 0.4337802  0.59350815],[0.44395115 0.13918954 0.52269061],[0.67966624 0.25214872 0.46810317],[0.79960058 0.3684723  0.44790632],[0.88072657 0.47143616 0.44228141],[0.36828669 0.30621771 0.49809353],[0.61034055 0.50202614 0.45287365],[0.74275857 0.62585786 0.44134733],[0.82653085 0.70569802 0.43663452],[0.27880297 0.45347396 0.48200531],[0.48000307 0.70239599 0.4438432 ],[0.59303251 0.83498102 0.43527328],[0.66652404 0.91188077 0.43309114],[0.18655966 0.56562855 0.47041074],[0.32903934 0.79192195 0.44406974],[0.41526485 0.90366201 0.44986433],[0.48850449 0.97372399 0.45965143]
[0.00802015 0.08804307 0.60997113],[0.22566653 0.         0.62251508],[0.41955674 0.10593641 0.61247118],[0.53428311 0.27685047 0.60346338],[0.58954188 0.41499504 0.59302045],[0.48142289 0.15163766 0.52786372],[0.69360132 0.29951906 0.49127311],[0.80235298 0.41154595 0.47639091],[0.87382225 0.50714366 0.4712575 ],[0.394789   0.30812697 0.49908214],[0.60555708 0.5187173  0.47502794],[0.72366861 0.64031885 0.4627606 ],[0.80155152 0.73099552 0.45365402],[0.29441566 0.44349995 0.47724107],[0.47229418 0.69655839 0.45260219],[0.57348107 0.8259664  0.4404583 ],[0.64258142 0.91026101 0.4323349 ],[0.19577739 0.54349478 0.4599022 ],[0.31826149 0.77243686 0.44084583],[0.39182874 0.88652199 0.44549649],[0.457526   0.96743065 0.45236785]
[0.05769166 0.06187178 0.5900978 ],[0.27182408 0.         0.61161619],[0.44178716 0.12660504 0.60754328],[0.53891149 0.2960245  0.60250883],[0.58399129 0.43219488 0.59562685],[0.4995859  0.18238235 0.52477607],[0.69298839 0.34185273 0.49618115],[0.78675756 0.45354388 0.48778752],[0.84839184 0.55021907 0.48655906],[0.41520241 0.31549938 0.49541189],[0.60427532 0.528952   0.47542032],[0.70679816 0.65446333 0.46690908],[0.7706382  0.74768563 0.46073305],[0.31719457 0.4275491  0.47316092],[0.46512382 0.67786178 0.45145469],[0.54791739 0.80807637 0.44100573],[0.60363002 0.89482765 0.43455422],[0.2223051  0.50351774 0.45587609],[0.31731278 0.72406872 0.4429014 ],[0.37703018 0.84126437 0.44716699],[0.43064269 0.93153968 0.45270887]
[0.12206489 0.01898026 0.61090956],[0.32756132 0.         0.62158134],[0.47925401 0.14224359 0.60974333],[0.55679179 0.31810725 0.59941586],[0.58558287 0.45584833 0.58758291],[0.52098987 0.18909288 0.51760438],[0.69482005 0.37841483 0.48264142],[0.77351816 0.50263746 0.47221605],[0.82259307 0.60509627 0.47046499],[0.42625232 0.3014702  0.49352613],[0.59116296 0.54255761 0.46755711],[0.68139801 0.67897906 0.45969585],[0.739014   0.77601846 0.45389563],[0.32378291 0.39776842 0.47717567],[0.45225095 0.65946547 0.45365166],[0.52451222 0.79605512 0.44565002],[0.5746948  0.8850242  0.44062343],[0.23016226 0.46392276 0.46490936],[0.31045283 0.69067531 0.45110219],[0.35938927 0.80594012 0.45673347],[0.40375142 0.8917024  0.46331963]
