


[ 4.54077154e-01  4.70698357e-01 -4.31393410e-08],[0.44948274 0.49346209 0.00086191],[0.45324397 0.50998527 0.00156913],[0.46008933 0.51515317 0.00163831],[0.46585959 0.51131535 0.00174713],[0.46875185 0.51462978 0.00428914],[0.46677288 0.51978046 0.00323156],[0.46216723 0.51511097 0.00066238],[ 0.45931336  0.50924009 -0.00105699],[0.47490531 0.50761908 0.00309431],[0.47171369 0.51147854 0.00343117],[0.4669967  0.50815988 0.00149061],[ 4.64253247e-01  5.03257096e-01 -1.03008169e-04],[0.47848764 0.49839431 0.00174719],[0.47532094 0.50274533 0.00237774],[0.47058091 0.50078619 0.00192445],[0.46770138 0.4968116  0.00135213],[4.80077684e-01 4.89156067e-01 3.60250619e-04],[0.47805062 0.49294844 0.00169906],[0.47418681 0.49173167 0.00326993],[0.47162402 0.48865086 0.00445342]
[ 4.29749668e-01  5.15122890e-01 -3.38373098e-08],[ 0.44192725  0.52574074 -0.01063968],[ 0.44639122  0.54371172 -0.0164481 ],[ 0.44603127  0.55974668 -0.01965216],[ 0.44538614  0.57241482 -0.02206651],[ 0.42799911  0.52844578 -0.02250922],[ 0.42301431  0.54675174 -0.02846375],[ 0.42449459  0.56000209 -0.03007507],[ 0.42563003  0.57038331 -0.03084773],[ 0.4177615   0.53019601 -0.0192514 ],[ 0.41232103  0.55482984 -0.02477115],[ 0.41610107  0.57149035 -0.02488553],[ 0.42026159  0.5810985  -0.02499799],[ 0.41144565  0.53392619 -0.01599614],[ 0.40761736  0.55764639 -0.02128202],[ 0.41308376  0.57138598 -0.02166957],[ 0.41860998  0.57906783 -0.02144709],[ 0.40874738  0.53893876 -0.01328393],[ 0.40704092  0.55757302 -0.01796056],[ 0.41148055  0.56912792 -0.01932565],[ 0.41723579  0.57556355 -0.01994045]
[ 4.06556755e-01  5.08787215e-01 -3.36715580e-08],[ 0.41532588  0.5194394  -0.01245732],[ 0.41915298  0.53624064 -0.02000288],[ 0.41979218  0.55107242 -0.02479953],[ 0.41941088  0.56248796 -0.02873249],[ 0.39732161  0.52531493 -0.02387009],[ 0.39081213  0.54774958 -0.03143397],[ 0.39241388  0.56242758 -0.0342296 ],[ 0.39464611  0.57086015 -0.03520693],[ 0.38853547  0.52547902 -0.01961373],[ 0.38195151  0.5513075  -0.02613882],[ 0.38703823  0.56492561 -0.02610282],[ 0.39221945  0.56950027 -0.02542436],[ 0.38357303  0.52685678 -0.01565138],[ 0.37828827  0.55044311 -0.02120663],[ 0.38416278  0.56168413 -0.02056582],[ 0.38978505  0.5654189  -0.01917222],[ 0.38174218  0.52934372 -0.01244355],[ 0.37781999  0.54750639 -0.01670509],[ 0.3817645   0.5577234  -0.01707988],[ 0.38690904  0.56223422 -0.0165974 ]
[ 3.81981343e-01  5.09895265e-01 -4.73529624e-08],[ 0.39266393  0.52107197 -0.01408785],[ 0.39517561  0.53864986 -0.02270856],[ 0.39121637  0.55364472 -0.02786535],[ 0.38810745  0.56488669 -0.03217727],[ 0.37483603  0.51951188 -0.03052373],[ 0.36752164  0.53756088 -0.03990278],[ 0.36894858  0.55142635 -0.04319942],[ 0.37174049  0.55999428 -0.0443805 ],[ 0.36590335  0.52101463 -0.02573642],[ 0.35773423  0.54679805 -0.03469726],[ 0.36218378  0.56098068 -0.03497073],[ 0.36811349  0.56469041 -0.03427672],[ 0.3603974   0.52424121 -0.02098405],[ 0.35430625  0.54803765 -0.02942679],[ 0.36009693  0.55950266 -0.02945895],[ 0.36625084  0.56260026 -0.02799898],[ 0.35781389  0.52815795 -0.01680434],[ 0.3535817   0.54845083 -0.02338542],[ 0.35765186  0.55823553 -0.02438534],[ 0.36323005  0.56071949 -0.02406009],[3.94815415e-01 5.06384611e-01 1.44187835e-08],[ 0.39933512  0.52117872 -0.01249417],[ 0.39915031  0.53866857 -0.01895752],[ 0.39715177  0.5514217  -0.02260981],[ 0.39469504  0.56111068 -0.02528613],[ 0.38249442  0.52330256 -0.02134928],[ 0.37037361  0.53455579 -0.02902371],[ 0.36806861  0.54743826 -0.03280827],[ 0.3692866   0.55567998 -0.03434884],[ 0.37583065  0.52084076 -0.01626176],[ 0.36432916  0.53378111 -0.02291147],[ 0.3628481   0.54822272 -0.02404494],[ 0.36543983  0.55596232 -0.0242608 ],[ 0.37143815  0.52112269 -0.01171112],[ 0.36108908  0.53392458 -0.0179761 ],[ 0.36084044  0.5463838  -0.01870727],[ 0.36370099  0.5528729  -0.01810278],[ 0.36924243  0.52242678 -0.0078071 ],[ 0.36046112  0.53298742 -0.01268637],[ 0.35944849  0.54155195 -0.01373028],[ 0.36131737  0.54602367 -0.0136093 ]
[3.83384109e-01 5.05078793e-01 2.50611389e-08],[ 0.3818315   0.5207206  -0.00547708],[ 0.37801895  0.53620648 -0.00807767],[ 0.37539437  0.54763138 -0.00982914],[ 0.37266013  0.55576986 -0.0110851 ],[ 0.36475867  0.52346236 -0.00661959],[ 0.35374615  0.53098899 -0.00973361],[ 0.34855527  0.5398733  -0.01182502],[ 0.34628993  0.54731548 -0.01287425],[ 0.36166701  0.52101606 -0.00471262],[ 0.35140267  0.53157377 -0.00760755],[ 0.34803832  0.54214048 -0.00870505],[ 0.34769037  0.54877722 -0.00905758],[ 0.36004391  0.52001405 -0.00325962],[ 0.35001048  0.53015929 -0.00632723],[ 0.34648997  0.53996372 -0.00725588],[ 0.34587568  0.54619294 -0.00717881],[ 0.35966977  0.52024412 -0.00211368],[ 0.35159212  0.52924776 -0.00423012],[ 0.34844756  0.53669232 -0.0045303 ],[ 0.3474386   0.54196817 -0.00424944]
[3.47374409e-01 5.00885487e-01 4.38854642e-09],[ 0.35417625  0.51346159 -0.0134696 ],[ 0.35401979  0.53029758 -0.02139912],[ 0.35090613  0.54501969 -0.0261381 ],[ 0.34672317  0.55478144 -0.03006759],[ 0.33532727  0.51116955 -0.026767  ],[ 0.32183203  0.52192438 -0.03515637],[ 0.31926647  0.53607243 -0.03851407],[ 0.31978711  0.54815507 -0.04002867],[ 0.32795656  0.50893629 -0.02211503],[ 0.31312153  0.52499777 -0.03084526],[ 0.31230456  0.54278553 -0.03238272],[ 0.31576568  0.5548566  -0.03265339],[ 0.32341871  0.51016808 -0.01759767],[ 0.31069404  0.52523857 -0.02492236],[ 0.31053576  0.54198503 -0.02644847],[ 0.31406212  0.55393285 -0.02627625],[ 0.3213124   0.51341492 -0.01375128],[ 0.31144974  0.52637273 -0.01956596],[ 0.30982494  0.53902698 -0.02164808],[ 0.31198078  0.5487296  -0.02223044]
[ 3.42160434e-01  4.98486280e-01 -1.30622340e-08],[ 0.34464544  0.51298302 -0.01000685],[ 0.3431071   0.52781898 -0.01664577],[ 0.34015486  0.54118806 -0.02128524],[ 0.33685878  0.55127686 -0.02519606],[ 0.32478136  0.50986665 -0.01923967],[ 0.30960274  0.52282399 -0.02698828],[ 0.30700392  0.53687853 -0.03068776],[ 0.30804661  0.54675198 -0.03184633],[ 0.31846428  0.50523502 -0.01593501],[ 0.30265972  0.52219903 -0.02312951],[ 0.30203679  0.53878033 -0.02477728],[ 0.30565897  0.5488112  -0.02477546],[ 0.31480885  0.50467527 -0.01289726],[ 0.3002196   0.51951623 -0.0189013 ],[ 0.30011931  0.53438503 -0.02024709],[ 0.3035329   0.54404074 -0.01987235],[ 0.31334999  0.506742   -0.01029913],[ 0.30170333  0.51827723 -0.01445781],[ 0.29977959  0.52899724 -0.01541223],[ 0.30092433  0.53640437 -0.01512892]
[ 3.36683661e-01  4.98819858e-01 -1.70328551e-08],[ 0.33914769  0.51358724 -0.01023438],[ 0.3369709   0.52860296 -0.01674293],[ 0.33378685  0.5418635  -0.02127468],[ 0.33008099  0.55140847 -0.02491368],[ 0.31782106  0.51079535 -0.01788508],[ 0.30193374  0.52254665 -0.02509993],[ 0.29971114  0.53588778 -0.02839958],[ 0.30129558  0.54503345 -0.0293135 ],[ 0.3125121   0.50588012 -0.01434622],[ 0.29611978  0.52157962 -0.02100751],[ 0.29472262  0.53712678 -0.02254685],[ 0.29764912  0.54686236 -0.02256205],[ 0.30929998  0.50505888 -0.01122749],[ 0.29438639  0.51953024 -0.01658314],[ 0.29342625  0.53366357 -0.01775671],[ 0.29586932  0.54341841 -0.01748069],[ 0.30777127  0.50689566 -0.0086381 ],[ 0.29588044  0.51822227 -0.01251145],[ 0.29359737  0.52879524 -0.0134496 ],[ 0.29427111  0.53672558 -0.01325531]
[ 3.33943278e-01  5.00488400e-01 -2.65070614e-08],[ 0.33662498  0.51518333 -0.01071717],[ 0.33463213  0.53022379 -0.01746133],[ 0.33113521  0.54308927 -0.02221491],[ 0.32751074  0.55262583 -0.02604468],[ 0.31508163  0.51280779 -0.01773822],[ 0.29946265  0.52452439 -0.02551209],[ 0.29700544  0.53806573 -0.02949738],[ 0.29841614  0.54705328 -0.03081666],[ 0.30956838  0.50795645 -0.01400954],[ 0.29329866  0.52407604 -0.02093364],[ 0.29282814  0.53978902 -0.02272168],[ 0.29654229  0.54860616 -0.02277724],[ 0.30625331  0.50735694 -0.01080146],[ 0.29171601  0.52241319 -0.01667137],[ 0.29192811  0.53648376 -0.01808493],[ 0.29518217  0.54523969 -0.01775609],[ 0.30467036  0.50932616 -0.00814815],[ 0.29319158  0.5217312  -0.01216403],[ 0.2917636   0.53238171 -0.01305395],[ 0.29300556  0.5396387  -0.01274481]
[ 3.35087270e-01  5.01503050e-01 -2.60647823e-08],[ 0.33786559  0.51661253 -0.01124518],[ 0.33538634  0.53164637 -0.0182858 ],[ 0.33167857  0.54468322 -0.02314947],[ 0.32799679  0.55450481 -0.02705622],[ 0.31626576  0.51356101 -0.0194151 ],[ 0.29930571  0.52644455 -0.02710945],[ 0.29665709  0.54040182 -0.03057091],[ 0.29836297  0.54939687 -0.03146699],[ 0.31075919  0.50879133 -0.01535803],[ 0.29332691  0.52584046 -0.02261426],[ 0.29406464  0.54200697 -0.02392048],[ 0.29936886  0.55087727 -0.02337164],[ 0.30750254  0.50882226 -0.01174694],[ 0.29250449  0.52513534 -0.01777233],[ 0.29387489  0.53954238 -0.01884605],[ 0.29844531  0.54834628 -0.01813015],[ 0.30600461  0.51155961 -0.00870395],[ 0.29453632  0.5248754  -0.01274023],[ 0.29400909  0.53597087 -0.01356763],[ 0.29644495  0.54360116 -0.01314505]
[ 3.38132113e-01  5.02248108e-01 -4.66310439e-08],[ 0.34036902  0.51713526 -0.0117621 ],[ 0.33753335  0.53169417 -0.01882003],[ 0.33333981  0.54461491 -0.02358163],[ 0.32883117  0.55379367 -0.02731494],[ 0.31758451  0.51414084 -0.01959357],[ 0.30061767  0.52683449 -0.02727634],[ 0.29920518  0.541013   -0.03078407],[ 0.30223835  0.54980063 -0.03173395],[ 0.31228569  0.5098356  -0.01503846],[ 0.29632202  0.52776605 -0.02219674],[ 0.29871106  0.5435043  -0.02350973],[ 0.30491093  0.55153233 -0.02305808],[ 0.30919883  0.51016563 -0.0109713 ],[ 0.29535213  0.52742302 -0.01696481],[ 0.29850751  0.54112363 -0.01772125],[ 0.30446851  0.54888529 -0.01684475],[ 0.30788288  0.5129059  -0.00752071],[ 0.29759228  0.52658021 -0.011538  ],[ 0.2986775   0.53706604 -0.01212422],[ 0.30253065  0.54379797 -0.01150987]
[ 3.43735516e-01  4.98249799e-01 -4.64934651e-08],[ 0.34476781  0.51292938 -0.00997358],[ 0.34103307  0.52727193 -0.01586644],[ 0.33704275  0.53983653 -0.01969529],[ 0.33318126  0.5490104  -0.02258511],[ 0.32094407  0.51046526 -0.01680118],[ 0.3049624   0.5233252  -0.02287439],[ 0.30311516  0.5363028  -0.02551457],[ 0.30492309  0.54499894 -0.02608725],[ 0.31641617  0.50547272 -0.01268247],[ 0.29954171  0.52035326 -0.01852466],[ 0.29952073  0.53451329 -0.01941316],[ 0.30358887  0.54282409 -0.01885441],[ 0.31453669  0.50490612 -0.00884636],[ 0.29978058  0.51795995 -0.01339613],[ 0.29954445  0.53054023 -0.01396558],[ 0.3023099   0.53884155 -0.01322691],[ 0.31434789  0.50712115 -0.00549829],[ 0.30302036  0.51787442 -0.00820553],[ 0.30153465  0.52751046 -0.00837483],[ 0.3027907   0.53443652 -0.00772702]
[ 3.50184083e-01  4.91893351e-01 -5.30149720e-08],[ 0.35161316  0.506841   -0.01094573],[ 0.34700149  0.52193421 -0.01702553],[ 0.34186888  0.53533411 -0.02076087],[ 0.33677822  0.54407555 -0.02351326],[ 0.32839024  0.5041613  -0.01809521],[ 0.31139377  0.51695168 -0.0244111 ],[ 0.30890077  0.53027409 -0.02706422],[ 0.31024832  0.5388785  -0.02762397],[ 0.32367122  0.49886078 -0.01336736],[ 0.30604511  0.51410592 -0.01949563],[ 0.3062869   0.5288831  -0.02025855],[ 0.31080484  0.53699315 -0.01953498],[ 0.32146484  0.49824166 -0.00896294],[ 0.30615148  0.51164973 -0.01392604],[ 0.30659115  0.52395707 -0.01438353],[ 0.31009337  0.53133744 -0.01344002],[ 0.32079276  0.50037044 -0.00508884],[ 0.30908439  0.51106226 -0.00827659],[ 0.30793089  0.52050334 -0.00855934],[ 0.30960619  0.526806   -0.00788483]
[ 3.57536018e-01  4.86242115e-01 -6.86652371e-08],[ 0.35875154  0.49995789 -0.01253668],[ 0.3542619   0.51484835 -0.01907677],[ 0.34903511  0.52752483 -0.02298323],[ 0.34435567  0.53667486 -0.02585042],[ 0.33470395  0.49756703 -0.01941746],[ 0.31824544  0.51009369 -0.02611813],[ 0.31676042  0.52351445 -0.02904072],[ 0.3196663   0.53209358 -0.02973285],[ 0.33047229  0.49369785 -0.0139513 ],[ 0.31475976  0.51067096 -0.01999963],[ 0.31775656  0.52484715 -0.02091131],[ 0.32468447  0.53149408 -0.02030881],[ 0.32860422  0.49398765 -0.00899624],[ 0.31514454  0.50986022 -0.01437036],[ 0.31899336  0.52205575 -0.01525795],[ 0.32545134  0.5283103  -0.01449789],[ 0.32813191  0.49628171 -0.00467533],[ 0.31795287  0.50888252 -0.00860385],[ 0.31901217  0.51877928 -0.00949088],[ 0.32290995  0.52509761 -0.00907036]
[ 3.66639793e-01  4.84894693e-01 -7.14099855e-08],[ 0.36804175  0.49857581 -0.01260341],[ 0.36363712  0.51206809 -0.01911525],[ 0.35847092  0.52399945 -0.02323649],[ 0.3537342   0.53253055 -0.02618513],[ 0.3433491   0.49545744 -0.01839517],[ 0.32605156  0.50734437 -0.02565457],[ 0.32641286  0.52129149 -0.02867018],[ 0.33097887  0.52901924 -0.02918226],[ 0.33970881  0.49223137 -0.01302795],[ 0.32410124  0.5088293  -0.01992201],[ 0.32883099  0.52360684 -0.02084507],[ 0.33642918  0.52868009 -0.01984279],[ 0.33837488  0.49306726 -0.00835984],[ 0.32506889  0.50872022 -0.01454069],[ 0.3302156   0.52128893 -0.01540454],[ 0.33741736  0.52613384 -0.0142102 ],[ 0.33824089  0.49560311 -0.00436271],[ 0.32798514  0.50785625 -0.00863395],[ 0.33012959  0.51810068 -0.00945579],[ 0.33506423  0.52344859 -0.00872937]
[ 3.77165198e-01  4.88290995e-01 -5.90590723e-08],[ 0.37914407  0.50057209 -0.01291913],[ 0.37457612  0.5142951  -0.01877734],[ 0.36985412  0.52662969 -0.02201251],[ 0.36481723  0.53524107 -0.02412913],[ 0.35384077  0.4997305  -0.01625102],[ 0.33881551  0.51104367 -0.02109398],[ 0.34003684  0.52234358 -0.0231972 ],[ 0.34503984  0.52752835 -0.02365667],[ 0.35055438  0.49715641 -0.01040568],[ 0.33607781  0.51058388 -0.01483326],[ 0.33852717  0.52247101 -0.01629677],[ 0.3444427   0.52758819 -0.01647555],[ 0.34961355  0.49761498 -0.00526528],[ 0.33671278  0.51020819 -0.00915634],[ 0.33968848  0.52123749 -0.01115068],[ 0.34490034  0.52696484 -0.01163938],[ 0.34984261  0.49933386 -0.00085655],[ 0.3403765   0.51119709 -0.00423567],[ 0.34134951  0.52011871 -0.00608545],[ 0.34470999  0.5254209  -0.00659867]
[ 3.89522433e-01  4.96714145e-01 -5.44600951e-08],[ 0.39128494  0.50780493 -0.01421242],[ 0.38783538  0.52076966 -0.02066579],[ 0.38381591  0.53273213 -0.02402977],[ 0.37921447  0.54092109 -0.02621319],[ 0.36709809  0.50671148 -0.01764014],[ 0.35426906  0.51792699 -0.0217486 ],[ 0.35577804  0.52778554 -0.02317768],[ 0.36092418  0.53290421 -0.02314698],[ 0.36352679  0.50414103 -0.01031695],[ 0.3522051   0.5177111  -0.01354344],[ 0.35539126  0.52834558 -0.01414915],[ 0.36161646  0.5330711  -0.01391902],[ 0.36246184  0.50451607 -0.00364477],[ 0.35300118  0.51738173 -0.00650282],[ 0.35672477  0.52710098 -0.00794823],[ 0.36219889  0.53236276 -0.00827025],[0.36270276 0.50629377 0.00222361],[ 3.55913132e-01  5.17480552e-01 -4.10832552e-04],[ 0.35761127  0.52567995 -0.00196361],[ 0.36113608  0.5310787  -0.00233451]
[ 4.00021225e-01  5.04984796e-01 -7.08287047e-08],[ 0.40295893  0.51572651 -0.01243289],[ 0.40118042  0.5286994  -0.01870121],[ 0.399028    0.54099089 -0.02229571],[ 0.39536986  0.55010158 -0.02529768],[ 0.38131905  0.51832604 -0.01775876],[ 0.37100926  0.52951682 -0.02256755],[ 0.37294665  0.53809172 -0.02487362],[ 0.37757301  0.54253358 -0.02549485],[ 0.37761587  0.51665795 -0.01159155],[ 0.36958313  0.53257513 -0.01522833],[ 0.37514541  0.54175955 -0.01589496],[ 0.38234788  0.54425275 -0.01567267],[ 0.37628123  0.51699108 -0.00587851],[ 0.36994815  0.53191972 -0.00882287],[ 0.37574577  0.54011261 -0.00975834],[ 0.38189122  0.54286778 -0.00977712],[ 0.37640643  0.51764929 -0.00086277],[ 0.37249914  0.53005052 -0.00319066],[ 0.3757762   0.53703368 -0.00400909],[ 0.37976769  0.54019862 -0.00390618]
[ 4.14071351e-01  5.16457260e-01 -9.27612298e-09],[ 0.41619942  0.52707106 -0.01267355],[ 0.41392234  0.53921914 -0.01904969],[ 0.41251159  0.55063522 -0.02257448],[ 0.41030431  0.56085312 -0.02546442],[ 0.39612812  0.52784979 -0.01925756],[ 0.38446188  0.53619075 -0.02356479],[ 0.38367826  0.54659891 -0.02486315],[ 0.38662681  0.55371028 -0.02466624],[ 0.39297774  0.52465022 -0.01269584],[ 0.38199276  0.53666931 -0.01606208],[ 0.38286424  0.54749411 -0.01599025],[ 0.3870922   0.55323195 -0.01531269],[ 0.39204302  0.52389473 -0.006441  ],[ 0.38318107  0.53565228 -0.0086491 ],[ 0.38425973  0.54597425 -0.00905051],[ 0.38735172  0.55249107 -0.0088692 ],[ 0.39224824  0.52453429 -0.000901  ],[ 0.38599113  0.53527772 -0.00278217],[ 0.38625631  0.54377961 -0.0035121 ],[ 0.38844851  0.54948026 -0.00344202]
[ 4.25228924e-01  5.23736775e-01 -2.56386787e-08],[ 0.42748359  0.53688574 -0.00998947],[ 0.42468348  0.55089915 -0.0144458 ],[ 0.42314041  0.5630964  -0.01665849],[ 0.42120913  0.57251322 -0.01824996],[ 0.40595785  0.54301137 -0.01347058],[ 0.39634815  0.5534277  -0.01533994],[ 0.39696008  0.56274605 -0.01523095],[ 0.4003278   0.56765181 -0.01437939],[ 0.4034228   0.53862363 -0.00781036],[ 0.39399809  0.55094796 -0.00869485],[ 0.39674848  0.56024307 -0.00781961],[ 0.40119237  0.56366539 -0.00676356],[ 0.40301755  0.53634483 -0.00238579],[ 0.39534608  0.54874551 -0.00280715],[ 0.3985962   0.55721021 -0.00271986],[ 0.40246579  0.56073207 -0.00238108],[0.40382609 0.53530604 0.00248627],[0.39837772 0.54713422 0.0020434 ],[0.40023148 0.55476993 0.00211121],[0.4032366  0.558433   0.00264911]
[4.36345488e-01 5.33999979e-01 6.93495750e-09],[ 0.43815118  0.54787552 -0.01067415],[ 0.43500844  0.56235963 -0.01501584],[ 0.43275678  0.57534748 -0.01691807],[ 0.43119949  0.58697796 -0.01785859],[ 0.41559529  0.55510634 -0.01204404],[ 0.40430564  0.56498837 -0.01432591],[ 0.40432912  0.57522708 -0.015087  ],[ 0.40756068  0.58205205 -0.01484874],[ 0.4128266   0.55018854 -0.00622167],[ 0.40285856  0.56301379 -0.00742935],[ 0.40424201  0.57300031 -0.00726399],[ 0.4083547   0.57884353 -0.00683831],[ 0.412687    0.54777265 -0.00091566],[ 0.40594599  0.56030351 -0.00169123],[ 0.40731227  0.56907064 -0.00217164],[ 0.41033044  0.57509333 -0.0022764 ],[0.41341844 0.54705811 0.00371156],[0.40864447 0.55817407 0.00299365],[0.40950459 0.56557614 0.00257582],[0.41191792 0.57081127 0.0026243 ]
[4.41434205e-01 5.45435667e-01 1.12304843e-09],[ 0.44309559  0.5613783  -0.0100382 ],[ 0.43933055  0.57727635 -0.0131082 ],[ 0.43655679  0.59079397 -0.01355742],[ 0.43423417  0.6013481  -0.01282231],[ 0.42048824  0.56915355 -0.01061432],[ 0.40897465  0.58032876 -0.01085608],[ 0.4090662   0.59016734 -0.0096115 ],[ 0.4124476   0.59629291 -0.00813512],[ 0.4176856   0.56387615 -0.00436891],[ 0.40915337  0.57872999 -0.00398108],[ 0.4123151   0.58925003 -0.00268577],[ 0.41733554  0.59442455 -0.00161732],[0.41759554 0.56122518 0.00145851],[0.41123933 0.57512778 0.00150706],[0.41402498 0.58427608 0.00125816],[0.41849548 0.58962512 0.00124877],[0.41829929 0.56019092 0.00670227],[0.41394272 0.57167393 0.00593941],[0.41563573 0.57966232 0.00511149],[0.41909942 0.58518451 0.00494542]
[4.42190230e-01 5.58355570e-01 6.69006628e-09],[ 0.44652855  0.5740993  -0.01029548],[ 0.44450948  0.59086907 -0.01384887],[ 0.4424459   0.60489738 -0.01484191],[ 0.4401339   0.61604995 -0.01461092],[ 0.42393526  0.58635575 -0.01136166],[ 0.41304064  0.60096639 -0.01289186],[ 0.41430759  0.61110002 -0.01276645],[ 0.41824079  0.61642742 -0.0118721 ],[ 0.41990218  0.58157945 -0.00535862],[ 0.41076544  0.59802401 -0.00623786],[ 0.41374555  0.60834867 -0.00551192],[ 0.41917372  0.61285686 -0.00450854],[4.19033796e-01 5.79226136e-01 1.26926796e-04],[ 0.41231737  0.59472448 -0.00089097],[ 0.4153468   0.60344988 -0.00139737],[ 0.41972771  0.60825282 -0.00121635],[0.41931275 0.57841891 0.00503303],[0.41471735 0.59161276 0.00407551],[0.41665879 0.5993346  0.00350039],[0.42013884 0.60424703 0.0036223 ]
[4.46146488e-01 5.75614095e-01 1.25920279e-08],[ 0.45134902  0.59125775 -0.00920886],[ 0.45005429  0.60837001 -0.01283435],[ 0.44900003  0.62268394 -0.01413641],[ 0.4474678   0.63352811 -0.01435   ],[ 0.42915171  0.60559261 -0.01172472],[ 0.41903695  0.62198746 -0.01356754],[ 0.42133084  0.6324482  -0.01350153],[ 0.42552546  0.63729566 -0.01263957],[ 0.42438745  0.60008001 -0.00654571],[ 0.41517577  0.61844647 -0.00796627],[ 0.41851562  0.62941265 -0.00715703],[ 0.42376545  0.63399857 -0.00610564],[ 0.42306975  0.59682631 -0.00171521],[ 0.41562092  0.61338776 -0.00283335],[ 0.41840941  0.6237523  -0.00284932],[ 0.4227207   0.62931132 -0.0023784 ],[0.42337227 0.59538758 0.00262284],[0.41768372 0.60964489 0.00174787],[0.4189333  0.61855358 0.00154794],[0.42209473 0.62390864 0.00190144]
[4.49122280e-01 5.93434215e-01 1.23282797e-08],[ 0.4559328   0.60955739 -0.00764534],[ 0.4562217   0.62678999 -0.011162  ],[ 0.45568824  0.64088368 -0.01276548],[ 0.45427501  0.65215647 -0.01340121],[ 0.4350068   0.62634468 -0.01107815],[ 0.42431721  0.64264458 -0.01330772],[ 0.42635265  0.65313387 -0.0134655 ],[ 0.4299894   0.65809095 -0.01265682],[ 0.42927715  0.62060869 -0.00693308],[ 0.41977924  0.63995796 -0.00855502],[ 0.42344835  0.65054363 -0.00736548],[ 0.42834899  0.65449256 -0.00587597],[ 0.42719236  0.61723047 -0.00303115],[ 0.41980845  0.63537633 -0.00406914],[ 0.42302364  0.64530462 -0.00334657],[ 0.42719957  0.65044159 -0.00228153],[4.27121371e-01 6.15745366e-01 4.64080775e-04],[4.22113061e-01 6.31726861e-01 9.55566575e-05],[0.42386204 0.6405825  0.00065549],[0.42712492 0.64561635 0.00157509]
[4.52975452e-01 6.10490143e-01 1.62302030e-08],[ 0.4605982   0.62717062 -0.00748943],[ 0.46125472  0.64542174 -0.01079491],[ 0.46095207  0.66025931 -0.01201344],[ 0.45971647  0.67112678 -0.01208288],[ 0.44028616  0.64601409 -0.01187748],[ 0.43086779  0.66545916 -0.0134268 ],[ 0.43352214  0.67536747 -0.01258035],[ 0.43748081  0.67962748 -0.0111062 ],[ 0.43364409  0.64035678 -0.00757959],[ 0.42457369  0.66154593 -0.00871971],[ 0.42932326  0.67155826 -0.00663078],[ 0.43472323  0.67482072 -0.00445085],[ 0.43125403  0.63622367 -0.00334192],[ 0.42409176  0.65500152 -0.00399957],[ 0.42795843  0.6643647  -0.00237372],[ 4.32489902e-01  6.68434978e-01 -6.58961944e-04],[4.31296200e-01 6.33378208e-01 5.24531351e-04],[4.26482826e-01 6.48883402e-01 3.35144374e-04],[0.42882028 0.65760863 0.00142142],[0.43252265 0.66212934 0.00280302]
[4.56427425e-01 6.26571894e-01 9.72494174e-09],[ 0.46448281  0.64350492 -0.0057302 ],[ 0.46593332  0.66229385 -0.00823553],[ 0.46646258  0.67693484 -0.00924801],[ 0.46549341  0.68695217 -0.00935115],[ 0.44584328  0.6637367  -0.00880523],[ 0.43727726  0.68347538 -0.01053478],[ 0.43886146  0.69341934 -0.01050482],[ 0.44109756  0.69893557 -0.00981709],[ 0.43838003  0.65887165 -0.00585875],[ 0.42981777  0.68078756 -0.0073978 ],[ 0.4342775   0.69073856 -0.00612218],[ 0.43910435  0.69393903 -0.00447175],[ 0.43509632  0.6551401  -0.00301633],[ 0.42790419  0.67439163 -0.00363806],[ 0.4314976   0.68429768 -0.00231163],[ 0.43547454  0.68868273 -0.00085233],[ 4.34637487e-01  6.52435422e-01 -5.38835244e-04],[ 4.29697484e-01  6.68068767e-01 -3.53200187e-04],[0.43144324 0.67720318 0.00072023],[0.4342812  0.68199122 0.00196574]
[4.57803249e-01 6.41960740e-01 2.14816054e-09],[ 0.46554559  0.65907544 -0.00334857],[ 0.46762854  0.67763245 -0.00509567],[ 0.46850473  0.69183832 -0.00583278],[ 0.46770245  0.70042574 -0.00581322],[ 0.44800836  0.68073529 -0.00707833],[ 0.43974733  0.70091051 -0.00882795],[ 0.44223034  0.71025079 -0.00877001],[ 0.44563413  0.71373641 -0.00785864],[ 0.44042999  0.67527956 -0.00518865],[ 0.43255499  0.6966809  -0.0063431 ],[ 0.43587312  0.70644057 -0.00504436],[ 0.44034582  0.70942211 -0.00352651],[ 0.43675542  0.67053068 -0.00323571],[ 0.43025914  0.68934739 -0.00346123],[ 0.43279067  0.69940662 -0.00202308],[ 4.36734349e-01  7.04097390e-01 -6.01186824e-04],[ 0.43607587  0.66683853 -0.00142704],[ 0.43171543  0.68200511 -0.00091584],[4.32943314e-01 6.91195428e-01 4.54649708e-04],[0.43575311 0.69629818 0.00189753]
