[0.52006711 0.         0.49271754],[0.65998659 0.13595074 0.47658541],[0.70050705 0.33550275 0.48014984],[0.67420137 0.49486794 0.4891862 ],[0.64347274 0.58717591 0.50627272],[0.54292509 0.45273123 0.47482608],[0.52110584 0.65902907 0.47800423],[0.56537161 0.70050646 0.48868906],[0.59629742 0.68340196 0.5000055 ],[0.44787361 0.42665875 0.48323887],[0.44355109 0.64292882 0.48845311],[0.50200873 0.66692199 0.50347959],[0.53600558 0.63489243 0.51713723],[0.38356967 0.38577719 0.49143924],[0.38466122 0.58261744 0.49932396],[0.43799661 0.6126086  0.51756754],[0.4710817  0.59076982 0.53080895],[0.34131545 0.33524818 0.49791782],[0.33527289 0.49607669 0.5112003 ],[0.37929355 0.54156068 0.52926819],[0.41343508 0.53477333 0.54372862]
[0.52420585 0.         0.49048977],[0.65319401 0.13007165 0.48170241],[0.69316249 0.31160115 0.48725851],[0.68794878 0.45564904 0.49653875],[0.68220245 0.55497883 0.51175297],[0.55187915 0.45681901 0.47824253],[0.53880538 0.64842465 0.48371675],[0.56415968 0.70345765 0.49622408],[0.58603607 0.70662765 0.50912696],[0.45363166 0.43596298 0.48220023],[0.44427457 0.64063939 0.48884762],[0.49449752 0.67281155 0.50375675],[0.53200099 0.65027326 0.51824839],[0.38394826 0.39390979 0.48660828],[0.37497538 0.58411085 0.49371438],[0.42643802 0.62161043 0.50985413],[0.46214254 0.60935893 0.52306333],[0.33812064 0.3415758  0.49064598],[0.32919593 0.49876628 0.50409723],[0.37151154 0.54424201 0.52364049],[0.40766909 0.53910909 0.54027046]
[0.5245562  0.         0.46919926],[0.65577524 0.12964911 0.46452996],[0.69270914 0.30586762 0.47099568],[0.68242538 0.45307933 0.47956024],[0.67184564 0.55667847 0.49362989],[0.56213632 0.45639226 0.48265761],[0.53755009 0.62429177 0.4907611 ],[0.55413998 0.6977008  0.4976755 ],[0.57557608 0.73649093 0.50587682],[0.4707329  0.43046725 0.48632887],[0.44777439 0.61935317 0.4990683 ],[0.48660706 0.68401786 0.51335364],[0.52186543 0.69815723 0.52703709],[0.40594061 0.38568427 0.48870712],[0.38489055 0.56077168 0.50026755],[0.42246979 0.62204775 0.51744202],[0.45658796 0.63818826 0.53277508],[0.36044043 0.33177268 0.48992421],[0.33567468 0.47333768 0.51000212],[0.360226   0.5364694  0.53098217],[0.39007614 0.55958249 0.54922578]
[0.50547582 0.         0.46562662],[0.63428231 0.13054521 0.46848196],[0.66916397 0.31138604 0.47992252],[0.66343944 0.45847922 0.49484317],[0.6577184  0.56222234 0.51683386],[0.55662485 0.44235839 0.46761115],[0.54193109 0.62627912 0.48260041],[0.56425813 0.69930455 0.50816384],[0.58558698 0.73026017 0.53139314],[0.46732073 0.42373742 0.47039546],[0.45358163 0.63251783 0.48105189],[0.49759502 0.69280585 0.51017295],[0.53418086 0.69449639 0.54010321],[0.40137057 0.38444398 0.47412038],[0.38881886 0.57802166 0.4865059 ],[0.43292308 0.63128924 0.51638497],[0.46869353 0.63335411 0.54447274],[0.35617211 0.32896006 0.47767307],[0.34144585 0.47168266 0.50127632],[0.37432154 0.52780089 0.52854399],[0.40509523 0.54005488 0.55382241]
[0.48374196 0.         0.4602513 ],[0.61213447 0.13044554 0.46911288],[0.63183844 0.3128328  0.48402125],[0.614361   0.47232519 0.4979833 ],[0.60811426 0.58765692 0.51714401],[0.52304125 0.42236546 0.48239267],[0.53715697 0.62950045 0.49105285],[0.58212179 0.68225461 0.50479744],[0.60430102 0.68723649 0.52019092],[0.43992445 0.42008267 0.48055023],[0.46284033 0.64301187 0.48875584],[0.52775695 0.66461936 0.5049336 ],[0.55763638 0.63546592 0.5241369 ],[0.37808678 0.39922663 0.47902574],[0.40385985 0.61170532 0.49077749],[0.47129377 0.62603747 0.51139896],[0.49830772 0.59528637 0.53045636],[0.33562415 0.36804207 0.47786271],[0.36278437 0.52581482 0.5035451 ],[0.41994482 0.55442228 0.5297163 ],[0.44512928 0.53166777 0.55189415]
[0.48324354 0.         0.48219328],[0.57436779 0.12677616 0.49112303],[0.58377588 0.29123727 0.50223434],[0.56854592 0.43200797 0.51154597],[0.56710817 0.53722963 0.52455494],[0.53026056 0.38817538 0.49778297],[0.55449137 0.57743856 0.49592279],[0.58866982 0.66496201 0.49929609],[0.60931955 0.71461247 0.50631288],[0.46188137 0.40379084 0.49032659],[0.48461356 0.60920505 0.48876312],[0.52916203 0.67867077 0.49746159],[0.55753519 0.70471427 0.50988851],[0.40488242 0.4004421  0.48259431],[0.42577335 0.59479556 0.48512327],[0.47820328 0.64845605 0.50089671],[0.50672533 0.66136807 0.51656343],[0.36021421 0.38405389 0.47461071],[0.37138412 0.53626142 0.49113687],[0.41714314 0.57518663 0.51534989],[0.44269939 0.5706159  0.53631871]
[0.58925523 0.         0.47367205],[0.49531758 0.1252493  0.41113563],[0.46081461 0.3171758  0.41236811],[0.44105363 0.46861458 0.43061074],[0.41684625 0.57489804 0.45836768],[0.58292452 0.44584167 0.44938755],[0.5400831  0.66063078 0.45504412],[0.47439594 0.71964394 0.45842972],[0.41679836 0.73903332 0.46455908],[0.61232286 0.43478737 0.49737654],[0.54237813 0.61832484 0.51015651],[0.46122061 0.65081469 0.50771153],[0.38790448 0.6539379  0.50549109],[0.61426786 0.40899512 0.54089109],[0.54154388 0.55805187 0.55225858],[0.46681823 0.5885549  0.53538894],[0.4000709  0.59263578 0.52190679],[0.59960815 0.38176704 0.5797425 ],[0.54514996 0.49801697 0.58673259],[0.4831741  0.52957276 0.5770597 ],[0.42805162 0.53345333 0.57170945]
[0.42091866 0.         0.5241187 ],[0.56885249 0.10080632 0.52707709],[0.64868659 0.26811818 0.52276386],[0.66898941 0.43943348 0.52121927],[0.65778147 0.55901384 0.52573662],[0.56254034 0.37445754 0.47484799],[0.58878831 0.64161094 0.4643652 ],[0.61442499 0.69945345 0.47433787],[0.62096739 0.70187162 0.48884401],[0.46138648 0.39150253 0.47158777],[0.48504549 0.67205531 0.46302662],[0.53211921 0.69812222 0.48457235],[0.55575228 0.66531428 0.50606509],[0.37898584 0.38529605 0.47325179],[0.39839171 0.63175288 0.47582571],[0.45121115 0.64517441 0.50961723],[0.47732049 0.60625998 0.53636787],[0.31554868 0.36019554 0.47564599],[0.32438386 0.55674701 0.49408512],[0.37037308 0.57319476 0.52938702],[0.39753206 0.52961965 0.55725682]
[0.38708986 0.         0.49329863],[0.52365091 0.1220739  0.50414269],[0.59136395 0.28768778 0.50976609],[0.60186498 0.44259063 0.51680266],[0.58901708 0.54676691 0.52883234],[0.55876917 0.34574693 0.48368878],[0.59294288 0.54475347 0.48403331],[0.61064408 0.64702453 0.49428523],[0.62259786 0.71844138 0.50552097],[0.47830449 0.38354594 0.47819866],[0.51210632 0.58442822 0.47985376],[0.53689372 0.67622266 0.49415823],[0.55405472 0.72835063 0.50938842],[0.40422599 0.40567124 0.47578906],[0.43213694 0.58379775 0.48169093],[0.46785159 0.64461226 0.50252585],[0.49386929 0.66763928 0.5220129 ],[0.34036714 0.41060537 0.47442461],[0.36674199 0.5517669  0.49394755],[0.4034774  0.59848133 0.52163928],[0.43202964 0.60979289 0.54600006]
[0.36472039 0.         0.51551263],[0.49590529 0.1270543  0.52762207],[0.55379034 0.29665505 0.52880229],[0.56835583 0.45094063 0.5294973 ],[0.57047449 0.56475711 0.53296564],[0.55092399 0.31683857 0.50472986],[0.60483663 0.50927906 0.49004989],[0.63098284 0.63466167 0.48179864],[0.64452911 0.73153283 0.4795808 ],[0.48571875 0.35572216 0.49543094],[0.52264497 0.54878263 0.48904149],[0.54917055 0.67391602 0.48545225],[0.56770094 0.7628322  0.48453559],[0.41623884 0.38046912 0.48837772],[0.43987444 0.56044024 0.48557727],[0.47470763 0.66645861 0.48504325],[0.50512298 0.73705828 0.48679702],[0.35117434 0.38822392 0.4836165 ],[0.37254192 0.53063183 0.49464327],[0.40125068 0.60830799 0.50931553],[0.42933504 0.65543777 0.52161005]
[0.34540269 0.         0.5414385 ],[0.48799527 0.12479282 0.56390772],[0.5492113  0.28410429 0.560114  ],[0.55621    0.43250687 0.55269658],[0.54023056 0.54414911 0.54477023],[0.55712645 0.30076298 0.52668334],[0.62489419 0.47469493 0.50458329],[0.66376596 0.59519617 0.48805229],[0.68659495 0.69184909 0.47870977],[0.49075225 0.35550637 0.50574382],[0.53324399 0.54373941 0.49205154],[0.56057436 0.67613785 0.47835368],[0.57550752 0.77775172 0.46794288],[0.41838138 0.38867909 0.488353  ],[0.45012665 0.5676897  0.47487178],[0.47431279 0.69810071 0.46086002],[0.49153011 0.79972895 0.450855  ],[0.3477868  0.39754034 0.47555221],[0.37023978 0.53231436 0.47620232],[0.38343798 0.62262402 0.48218868],[0.39267501 0.69213122 0.48606936]
[0.32132486 0.         0.52272671],[0.45933143 0.1205764  0.55513233],[0.5241099  0.25618402 0.5583026 ],[0.54629602 0.38195251 0.55356537],[0.54021046 0.47660526 0.54688024],[0.54725504 0.29971888 0.53147487],[0.61995318 0.45323947 0.51213789],[0.66381573 0.56447465 0.49389883],[0.69311763 0.65963049 0.4818629 ],[0.49037833 0.3733105  0.50476692],[0.5395631  0.55185419 0.49734176],[0.56626282 0.67312651 0.48561965],[0.58427764 0.77082418 0.47526287],[0.42319053 0.42137218 0.48082739],[0.45904005 0.59401983 0.47716073],[0.47684647 0.70667987 0.47254188],[0.48902655 0.79269392 0.46714042],[0.35425749 0.43839167 0.45998934],[0.38561604 0.57789618 0.46531737],[0.40109116 0.66114351 0.47560576],[0.41503558 0.72630578 0.48244418]
