[0.61099151 0.         0.48548492],[0.52135729 0.13677002 0.42089191],[0.47437003 0.31765345 0.40954566],[0.43957904 0.48078715 0.4113732 ],[0.40575299 0.59866222 0.42376755],[0.610337  0.4628019 0.4657489],[0.53284383 0.6693507  0.46252189],[0.44409456 0.67602145 0.45826572],[0.3857928  0.64404401 0.45978967],[0.63003374 0.4497429  0.506526  ],[0.54589838 0.63743039 0.51044335],[0.45818896 0.644383   0.50304111],[0.39210741 0.62509383 0.49762215],[0.62352043 0.42259141 0.54170829],[0.53607255 0.57515272 0.54905424],[0.46399    0.59418607 0.53963359],[0.40560698 0.58474557 0.5312024 ],[0.60128756 0.38927449 0.57125782],[0.53413252 0.51079092 0.58271237],[0.46971104 0.54216845 0.58390894],[0.41433139 0.53834934 0.58550031]
[0.61767318 0.         0.46946323],[0.53613053 0.13407014 0.4154545 ],[0.48860706 0.31595138 0.41002574],[0.45463049 0.47090241 0.41459198],[0.42654155 0.5900125  0.4284504 ],[0.60074223 0.44497488 0.47614108],[0.52825194 0.63129676 0.47374727],[0.45060534 0.66094801 0.46363288],[0.39374125 0.64638841 0.460454  ],[0.61393003 0.43790846 0.51155208],[0.54006105 0.6127001  0.51981118],[0.46421239 0.64148904 0.50678911],[0.40067105 0.6380442  0.49642976],[0.60362495 0.41908683 0.54038077],[0.53180206 0.57566346 0.55221324],[0.46652295 0.60902025 0.54073688],[0.40950908 0.61133833 0.52984155],[0.57628802 0.39456181 0.56367827],[0.52046735 0.52538763 0.57624883],[0.46352241 0.56551881 0.57538596],[0.41246512 0.57473661 0.57497129]
[0.64495992 0.         0.40791384],[0.55792476 0.15331622 0.3303065 ],[0.4985877  0.34184524 0.3292779 ],[0.45169175 0.4963295  0.34561085],[0.41313066 0.61893764 0.37246339],[0.60222149 0.49335028 0.43634884],[0.5224666  0.65647285 0.47032811],[0.43648534 0.66968081 0.47802858],[0.37710523 0.64401534 0.48264666],[0.61579715 0.46579639 0.49546364],[0.53327081 0.62250601 0.54271163],[0.45127142 0.63598257 0.53994309],[0.38445111 0.61708614 0.53094176],[0.612658  0.4266564 0.5460538],[0.53295095 0.5603893  0.58920187],[0.46178927 0.58137578 0.57886781],[0.40011544 0.57180453 0.56250958],[0.58720371 0.38604628 0.58858822],[0.52944341 0.50263788 0.62337242],[0.46978786 0.52808602 0.62584866],[0.41668741 0.52768482 0.62357285]
[0.6642696  0.         0.41938445],[0.54783309 0.15201442 0.37498561],[0.47098361 0.34593083 0.38754741],[0.42969071 0.49327632 0.41117134],[0.40262015 0.59571999 0.44641235],[0.61217275 0.49115261 0.45784177],[0.51486292 0.66568635 0.47512779],[0.42798776 0.67715897 0.4746339 ],[0.3679257  0.65357228 0.47650407],[0.63227852 0.47080555 0.49753885],[0.53081837 0.63235131 0.52842114],[0.44673707 0.64383938 0.52447288],[0.38298664 0.63230571 0.5173352 ],[0.63069328 0.42972304 0.53042526],[0.53454572 0.56653823 0.56105993],[0.45964928 0.58528532 0.55424897],[0.39913776 0.57479622 0.54339746],[0.61006669 0.38409885 0.55794317],[0.53904105 0.48772539 0.58463305],[0.47534211 0.51064047 0.58796526],[0.42035725 0.50737876 0.58895014]
[0.68248812 0.         0.44521603],[0.57844641 0.14861254 0.38654357],[0.49684524 0.33509684 0.38847518],[0.44273699 0.47898724 0.40490962],[0.41057736 0.57786031 0.4319386 ],[0.63469633 0.50355482 0.45575133],[0.53851227 0.67573261 0.46849728],[0.4478171  0.69474201 0.46420477],[0.38015677 0.6729312  0.46161298],[0.63151154 0.47973629 0.49998058],[0.53114038 0.63757138 0.52850661],[0.44519121 0.65544914 0.51913277],[0.37948394 0.64393787 0.50550586],[0.61113877 0.43002993 0.53813406],[0.51709638 0.56528746 0.56690979],[0.44579167 0.59071801 0.55466187],[0.38727846 0.57892422 0.53780483],[0.57856343 0.37035196 0.57030759],[0.51022488 0.47152451 0.59300341],[0.45108271 0.49731689 0.59124371],[0.39922006 0.49163477 0.58765956]
[0.66926586 0.         0.49501779],[0.65982676 0.16756523 0.47813069],[0.59341072 0.36549629 0.47519197],[0.51346405 0.5061025  0.47844439],[0.45030743 0.59242617 0.48917613],[0.65521063 0.46692758 0.47172911],[0.5460908  0.66581753 0.46577117],[0.45809185 0.69128511 0.46509571],[0.39711135 0.67165961 0.47054245],[0.61137124 0.4355878  0.4860996 ],[0.51413923 0.63495799 0.49652637],[0.44061949 0.66607429 0.49759232],[0.38811128 0.65729135 0.49554832],[0.55917209 0.38380708 0.50128512],[0.47826812 0.56806329 0.51851661],[0.42321449 0.602462   0.52330235],[0.38351813 0.59434949 0.52141692],[0.50644436 0.32812502 0.51548412],[0.45174893 0.4728402  0.53879337],[0.41484206 0.51379025 0.5536155 ],[0.38577112 0.51537122 0.56271997]
[0.63124542 0.         0.47606768],[0.54911156 0.10346763 0.42518032],[0.4873817  0.30389972 0.42695731],[0.44832954 0.46896944 0.44283637],[0.42055422 0.59014419 0.46788825],[0.59990959 0.42271131 0.45693802],[0.51299079 0.61957161 0.45713279],[0.42886058 0.64560914 0.45704724],[0.36722016 0.62937449 0.46293253],[0.61827664 0.43393253 0.49618505],[0.53423888 0.62054724 0.50579064],[0.4528529  0.64358197 0.50180535],[0.3895942  0.6291986  0.49972237],[0.61407874 0.42336825 0.53180315],[0.53732661 0.59798228 0.5431159 ],[0.46405082 0.62162659 0.53575289],[0.40624451 0.61174254 0.52973138],[0.59420615 0.40135349 0.56389784],[0.53741531 0.54698958 0.57346441],[0.47826056 0.58901222 0.5721964 ],[0.42785113 0.59691721 0.57355409]
[0.64061906 0.         0.4721997 ],[0.57733047 0.13250058 0.42084129],[0.5103812  0.33583984 0.42187971],[0.46253435 0.49832361 0.43516275],[0.4321918  0.61504783 0.457776  ],[0.61916043 0.44488104 0.46788728],[0.54590062 0.64614152 0.46537871],[0.45660169 0.67807136 0.45802359],[0.38676144 0.66631424 0.4580766 ],[0.61008332 0.43053742 0.50432074],[0.53915808 0.61372869 0.51456062],[0.46034351 0.64827285 0.5024136 ],[0.39351325 0.64746607 0.49189317],[0.58746551 0.40093906 0.53596555],[0.51383476 0.56110836 0.5468309 ],[0.45191631 0.59899635 0.53638265],[0.3979467  0.59613783 0.52714221],[0.55605962 0.36706335 0.56331823],[0.50422057 0.50537989 0.57291385],[0.4510647  0.55195474 0.57261862],[0.4029126  0.56129537 0.57441424]
[0.60650584 0.         0.48369534],[0.66530175 0.16180296 0.44977603],[0.64188121 0.36942286 0.44994349],[0.59474741 0.52961097 0.45708961],[0.54990645 0.63111227 0.47031556],[0.57942066 0.41056683 0.4808186 ],[0.54029337 0.61830938 0.47302476],[0.49010671 0.6810175  0.4657222 ],[0.44266815 0.6936714  0.46716652],[0.52294844 0.38824342 0.50241134],[0.4882616  0.57596067 0.51108115],[0.45469446 0.64701768 0.50256914],[0.41669892 0.67504122 0.49574031],[0.48419589 0.36121769 0.51971996],[0.45232713 0.53672201 0.52839621],[0.42988633 0.60617998 0.52274506],[0.40304421 0.6350463  0.51789611],[0.46102593 0.33727492 0.53446823],[0.44344096 0.48662264 0.54878233],[0.42550457 0.55845095 0.55630791],[0.40714002 0.59670837 0.56233016]
[0.62785867 0.         0.46401588],[0.59500746 0.1157369  0.41046778],[0.53519537 0.31510873 0.41487794],[0.48265324 0.47971696 0.43170709],[0.45133178 0.6039159  0.4582524 ],[0.62929391 0.43245236 0.46528981],[0.55192892 0.64667584 0.46484124],[0.47045332 0.68843957 0.46130912],[0.40940646 0.68025421 0.46512627],[0.60613114 0.42312216 0.50391315],[0.53484628 0.61175523 0.51516904],[0.45914747 0.65431775 0.50370927],[0.39744435 0.65620193 0.49528349],[0.57088277 0.39692732 0.53712694],[0.50196    0.56240828 0.5498199 ],[0.44127443 0.60551045 0.53730628],[0.39210431 0.61246103 0.52667854],[0.53287445 0.36891994 0.56585687],[0.48360524 0.5130438  0.57701099],[0.43368968 0.56122457 0.57573623],[0.39291073 0.57180708 0.57650176]
